Ñurrency Date Open
INR%3dX 2016-03-01 68.218
INR%3dX 2016-02-29 68.73
INR%3dX 2016-02-26 68.797
INR%3dX 2016-02-25 68.392
INR%3dX 2016-02-24 68.603
INR%3dX 2016-02-23 68.573
INR%3dX 2016-02-22 68.48
INR%3dX 2016-02-19 68.565
INR%3dX 2016-02-18 68.356
INR%3dX 2016-02-17 68.52
INR%3dX 2016-02-16 68.126
INR%3dX 2016-02-15 68.111
INR%3dX 2016-02-12 68.463
INR%3dX 2016-02-11 67.896
INR%3dX 2016-02-10 67.927
INR%3dX 2016-02-09 68.075
INR%3dX 2016-02-08 67.802
INR%3dX 2016-02-05 67.574
INR%3dX 2016-02-04 67.782
INR%3dX 2016-02-03 67.986
INR%3dX 2016-02-02 67.865
INR%3dX 2016-02-01 67.87
INR%3dX 2016-01-29 68.093
INR%3dX 2016-01-28 68.191
INR%3dX 2016-01-27 67.77
INR%3dX 2016-01-26 67.753
INR%3dX 2016-01-25 67.541
INR%3dX 2016-01-22 67.808
INR%3dX 2016-01-21 67.948
INR%3dX 2016-01-20 67.761
INR%3dX 2016-01-19 67.71
INR%3dX 2016-01-18 67.767
INR%3dX 2016-01-15 67.304
INR%3dX 2016-01-14 66.959
INR%3dX 2016-01-13 66.92
INR%3dX 2016-01-12 66.806
INR%3dX 2016-01-11 66.84
INR%3dX 2016-01-08 66.899
INR%3dX 2016-01-07 66.74
INR%3dX 2016-01-06 66.51
INR%3dX 2016-01-05 66.598
INR%3dX 2016-01-04 66.193
INR%3dX 2016-01-01 66.193
